ts,src_ip,src_port,dst_ip,dst_port,proto,duration,orig_bytes,resp_bytes,ts_datetime,ts_datetime_norm,ts_datetime_norm_rounded,Label,Event_IDs
1757931086.029224,192.168.3.10,33694,192.168.2.20,443,tcp,0.000292,0,0,2025-09-15 10:11:26.029223919,2025-09-15 12:11:26.029223919,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.029567,192.168.3.10,54926,192.168.2.20,445,tcp,0.000132,0,0,2025-09-15 10:11:26.029567003,2025-09-15 12:11:26.029567003,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.029776,192.168.3.10,37700,192.168.2.20,2222,tcp,0.000115,0,0,2025-09-15 10:11:26.029776096,2025-09-15 12:11:26.029776096,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.03095,192.168.3.10,36328,192.168.2.20,3306,tcp,0.000111,0,0,2025-09-15 10:11:26.030950069,2025-09-15 12:11:26.030950069,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.031372,192.168.3.10,49526,192.168.2.20,3389,tcp,0.000126,0,0,2025-09-15 10:11:26.031372070,2025-09-15 12:11:26.031372070,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.031794,192.168.3.10,32962,192.168.2.20,5985,tcp,0.000102,0,0,2025-09-15 10:11:26.031794071,2025-09-15 12:11:26.031794071,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.032972,192.168.3.10,56982,192.168.2.20,5986,tcp,0.000158,0,0,2025-09-15 10:11:26.032972097,2025-09-15 12:11:26.032972097,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.033238,192.168.3.10,43952,192.168.2.20,7001,tcp,9.3e-05,0,0,2025-09-15 10:11:26.033237933,2025-09-15 12:11:26.033237933,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.033737,192.168.3.10,44622,192.168.2.20,8008,tcp,8.1e-05,0,0,2025-09-15 10:11:26.033736944,2025-09-15 12:11:26.033736944,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.033968,192.168.3.10,53414,192.168.2.20,8088,tcp,0.000183,0,0,2025-09-15 10:11:26.033967972,2025-09-15 12:11:26.033967972,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.034684,192.168.3.10,40772,192.168.2.20,8983,tcp,0.000169,0,0,2025-09-15 10:11:26.034683943,2025-09-15 12:11:26.034683943,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931086.072311,192.168.3.10,59596,192.168.2.10,135,tcp,0.000104,0,0,2025-09-15 10:11:26.072310925,2025-09-15 12:11:26.072310925,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072473,192.168.3.10,56524,192.168.2.10,443,tcp,8.5e-05,0,0,2025-09-15 10:11:26.072473049,2025-09-15 12:11:26.072473049,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072559,192.168.3.10,32800,192.168.2.10,445,tcp,7.3e-05,0,0,2025-09-15 10:11:26.072559118,2025-09-15 12:11:26.072559118,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072636,192.168.3.10,47176,192.168.2.10,2222,tcp,5.7e-05,0,0,2025-09-15 10:11:26.072635889,2025-09-15 12:11:26.072635889,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072651,192.168.3.10,53724,192.168.2.10,3306,tcp,0.0002,0,0,2025-09-15 10:11:26.072650909,2025-09-15 12:11:26.072650909,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072666,192.168.3.10,51990,192.168.2.10,3389,tcp,0.000215,0,0,2025-09-15 10:11:26.072665930,2025-09-15 12:11:26.072665930,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.07268,192.168.3.10,44320,192.168.2.10,5985,tcp,0.00029,0,0,2025-09-15 10:11:26.072679996,2025-09-15 12:11:26.072679996,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072695,192.168.3.10,59168,192.168.2.10,5986,tcp,0.000394,0,0,2025-09-15 10:11:26.072695017,2025-09-15 12:11:26.072695017,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072709,192.168.3.10,56882,192.168.2.10,7001,tcp,0.000401,0,0,2025-09-15 10:11:26.072709084,2025-09-15 12:11:26.072709084,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072722,192.168.3.10,33128,192.168.2.10,8008,tcp,0.000401,0,0,2025-09-15 10:11:26.072721958,2025-09-15 12:11:26.072721958,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072752,192.168.3.10,33904,192.168.2.10,8088,tcp,0.000404,0,0,2025-09-15 10:11:26.072751999,2025-09-15 12:11:26.072751999,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.072765,192.168.3.10,38710,192.168.2.10,8983,tcp,0.000403,0,0,2025-09-15 10:11:26.072765112,2025-09-15 12:11:26.072765112,2025-09-15 12:11:26,TCPScanEvent,"955,1016,1022"
1757931086.033921,192.168.3.10,40260,192.168.2.20,8080,tcp,3.003071,0,0,2025-09-15 10:11:26.033921003,2025-09-15 12:11:26.033921003,2025-09-15 12:11:26,TCPScanEvent,"1017,1019"
1757931089.039223,192.168.3.10,40274,192.168.2.20,8080,tcp,0.002793,517,2166,2025-09-15 10:11:29.039222956,2025-09-15 12:11:29.039222956,2025-09-15 12:11:29,TCPScanEvent,"1017,1019"
